Day,Quote,Author
1,"Your time is limited, don't waste it living someone else's life.","Steve Jobs"
2,"Productivity is never an accident. It is always the result of a commitment to excellence, intelligent planning, and focused effort.","Paul J. Meyer"
3,"The key is not to prioritize what's on your schedule, but to schedule your priorities.","Stephen Covey"
4,"Do the hard jobs first. The easy jobs will take care of themselves.","Dale Carnegie"
5,"You don’t have to be great to start, but you have to start to be great.","Zig Ziglar"
6,"The secret of getting ahead is getting started.","Mark Twain"
7,"Success is the sum of small efforts, repeated day in and day out.","Robert Collier"
8,"Focus on being productive instead of busy.","Tim Ferriss"
9,"The bad news is time flies. The good news is you’re the pilot.","Michael Altshuler"
10,"The way to get started is to quit talking and begin doing.","Walt Disney"
11,"It’s not about having time, it’s about making time.","Unknown"
12,"The future depends on what you do today.","Mahatma Gandhi"
13,"Discipline is choosing between what you want now and what you want most.","Abraham Lincoln"
14,"Either you run the day, or the day runs you.","Jim Rohn"
15,"The only limit to our realization of tomorrow is our doubts of today.","Franklin D. Roosevelt"
16,"Small daily improvements are the key to staggering long-term results.","Unknown"
17,"Don’t count the days, make the days count.","Muhammad Ali"
18,"The more you do, the more you can do.","William Hazlitt"
19,"You will never always be motivated, so you must learn to be disciplined.","Unknown"
20,"Time isn’t the main thing. It’s the only thing.","Miles Davis"
21,"The best way to predict the future is to create it.","Peter Drucker"
22,"The difference between ordinary and extraordinary is that little extra.","Jimmy Johnson"
23,"Efficiency is doing things right. Effectiveness is doing the right things.","Peter Drucker"
24,"The expert in anything was once a beginner.","Helen Hayes"
25,"You can’t improve what you don’t measure.","Peter Drucker"
26,"The only way to do great work is to love what you do.","Steve Jobs"
27,"Your most valuable asset is not your time. It’s your energy.","Unknown"
28,"Success is nothing more than a few simple disciplines, practiced every day.","Jim Rohn"
29,"The time for action is now. It’s never too late to do something.","Antoine de Saint-Exupéry"
30,"The best time to plant a tree was 20 years ago. The second best time is now.","Chinese Proverb"
31,"The shorter way to do many things is to do only one thing at a time.","Mozart"
32,"Don’t watch the clock; do what it does. Keep going.","Sam Levenson"
33,"The biggest challenge is to stay focused. It’s to have the discipline when there are so many competing things.","Alexis Ohanian"
34,"The most effective way to do it is to do it.","Amelia Earhart"
35,"The only place where success comes before work is in the dictionary.","Vidal Sassoon"
36,"The best preparation for tomorrow is doing your best today.","H. Jackson Brown Jr."
37,"Action is the foundational key to all success.","Pablo Picasso"
38,"The successful warrior is the average man, with laser-like focus.","Bruce Lee"
39,"You may delay, but time will not.","Benjamin Franklin"
40,"The man who moves a mountain begins by carrying away small stones.","Confucius"
41,"The more disciplined you become, the easier life gets.","Unknown"
42,"Time management is life management.","Robin Sharma"
43,"You don’t need more time in your day, you need to decide.","Seth Godin"
44,"The first step toward success is taken when you refuse to be a captive of the environment in which you first find yourself.","Mark Caine"
45,"The way we spend our time defines who we are.","Jonathan Estrin"
46,"The most efficient way to live reasonably is every morning to make a plan of one’s day and every night to examine the results obtained.","Alexis Carrel"
47,"You can’t manage time, you can only manage yourself.","Unknown"
48,"The successful person has the habit of doing the things failures don’t like to do.","Thomas Edison"
49,"The time you enjoy wasting is not wasted time.","Bertrand Russell"
50,"The best investment you can make is in yourself.","Warren Buffett"
51,"The only thing standing between you and your goal is the story you keep telling yourself.","Jordan Belfort"
52,"The more you value your time, the more productive you become.","Unknown"
53,"The discipline you learn and character you build from setting and achieving a goal can be more valuable than the achievement of the goal itself.","Bo Bennett"
54,"The best way to get something done is to begin.","Unknown"
55,"The greatest amount of wasted time is the time not getting started.","Dawson Trotman"
56,"The only person you are destined to become is the person you decide to be.","Ralph Waldo Emerson"
57,"The secret to productivity is simplicity.","Unknown"
58,"The difference between a successful person and others is not a lack of strength, not a lack of knowledge, but rather a lack in will.","Vince Lombardi"
59,"The time is always right to do what is right.","Martin Luther King Jr."
60,"The more you do, the more energy you have.","Unknown"
61,"The successful man is the one who finds out what is the matter with his business before his competitors do.","Roy L. Smith"
62,"The best time management technique is to eliminate wasted time.","Unknown"
63,"The only limit to our realization of tomorrow will be our doubts of today.","Franklin D. Roosevelt"
64,"The most precious resource we all have is time.","Steve Jobs"
65,"The key to productivity is to rotate your avoidance techniques.","Scott Adams"
66,"The way to get started is to quit talking and begin doing.","Walt Disney"
67,"The best way to predict your future is to create it.","Abraham Lincoln"
68,"The man who does not read has no advantage over the man who cannot read.","Mark Twain"
69,"The more you praise and celebrate your life, the more there is in life to celebrate.","Oprah Winfrey"
70,"The only thing that overcomes hard luck is hard work.","Harry Golden"
71,"The best preparation for good work tomorrow is to do good work today.","Elbert Hubbard"
72,"The successful person is the individual who forms the habit of doing what the failing person doesn’t like to do.","Donald Riggs"
73,"The time you spend on planning is time you save on execution.","Unknown"
74,"The secret of your success is found in your daily routine.","John C. Maxwell"
75,"The more you do, the more you can do.","William Hazlitt"
76,"The best way to capture moments is to pay attention. This is how we cultivate mindfulness.","Jon Kabat-Zinn"
77,"The only thing worse than starting something and failing is not starting something.","Seth Godin"
78,"The difference between who you are and who you want to be is what you do.","Unknown"
79,"The most productive people are those who listen to their own rhythm.","Unknown"
80,"The best time to start was yesterday. The next best time is now.","Unknown"
81,"The only way to achieve the impossible is to believe it is possible.","Charles Kingsleigh"
82,"The more you value your time, the more you will get out of it.","Unknown"
83,"The successful man is the average man focused.","Unknown"
84,"The best way to get ahead is to get started.","Mark Twain"
85,"The time you enjoy wasting is not wasted time.","Bertrand Russell"
86,"The secret to productivity is to work smarter, not harder.","Unknown"
87,"The more disciplined you become, the easier life gets.","Unknown"
88,"The only place success comes before work is in the dictionary.","Vidal Sassoon"
89,"The best way to predict the future is to create it.","Peter Drucker"
90,"The difference between ordinary and extraordinary is that little extra.","Jimmy Johnson"
91,"The expert in anything was once a beginner.","Helen Hayes"
92,"The only way to do great work is to love what you do.","Steve Jobs"
93,"The most valuable asset is not your time. It’s your energy.","Unknown"
94,"The time for action is now. It’s never too late to do something.","Antoine de Saint-Exupéry"
95,"The best time to plant a tree was 20 years ago. The second best time is now.","Chinese Proverb"
96,"The shorter way to do many things is to do only one thing at a time.","Mozart"
97,"Don’t watch the clock; do what it does. Keep going.","Sam Levenson"
98,"The biggest challenge is to stay focused. It’s to have the discipline when there are so many competing things.","Alexis Ohanian"
99,"The most effective way to do it is to do it.","Amelia Earhart"
100,"The only place where success comes before work is in the dictionary.","Vidal Sassoon"
101,"The best preparation for tomorrow is doing your best today.","H. Jackson Brown Jr."
102,"Action is the foundational key to all success.","Pablo Picasso"
103,"The successful warrior is the average man, with laser-like focus.","Bruce Lee"
104,"You may delay, but time will not.","Benjamin Franklin"
105,"The man who moves a mountain begins by carrying away small stones.","Confucius"
106,"The more disciplined you become, the easier life gets.","Unknown"
107,"Time management is life management.","Robin Sharma"
108,"You don’t need more time in your day, you need to decide.","Seth Godin"
109,"The first step toward success is taken when you refuse to be a captive of the environment in which you first find yourself.","Mark Caine"
110,"The way we spend our time defines who we are.","Jonathan Estrin"
111,"The most efficient way to live reasonably is every morning to make a plan of one’s day and every night to examine the results obtained.","Alexis Carrel"
112,"You can’t manage time, you can only manage yourself.","Unknown"
113,"The successful person has the habit of doing the things failures don’t like to do.","Thomas Edison"
114,"The time you enjoy wasting is not wasted time.","Bertrand Russell"
115,"The best investment you can make is in yourself.","Warren Buffett"
116,"The only thing standing between you and your goal is the story you keep telling yourself.","Jordan Belfort"
117,"The more you value your time, the more productive you become.","Unknown"
118,"The discipline you learn and character you build from setting and achieving a goal can be more valuable than the achievement of the goal itself.","Bo Bennett"
119,"The best way to get something done is to begin.","Unknown"
120,"The greatest amount of wasted time is the time not getting started.","Dawson Trotman"
121,"The only person you are destined to become is the person you decide to be.","Ralph Waldo Emerson"
122,"The secret to productivity is simplicity.","Unknown"
123,"The difference between a successful person and others is not a lack of strength, not a lack of knowledge, but rather a lack in will.","Vince Lombardi"
124,"The time is always right to do what is right.","Martin Luther King Jr."
125,"The more you do, the more energy you have.","Unknown"
126,"The successful man is the one who finds out what is the matter with his business before his competitors do.","Roy L. Smith"
127,"The best time management technique is to eliminate wasted time.","Unknown"
128,"The only limit to our realization of tomorrow will be our doubts of today.","Franklin D. Roosevelt"
